#separator:tab
#html:false
I/me	knyom
You	nec
He/Him	go-at
She/Her	neeyang
It (animal/thing)	v-yeah
We/Us	yeung
They	bpouk-gay
You guys	Bpouk + nec
Older	Bong
Female	Srey
Male	Proh
Younger	Pa-own/oun
Uncle	Bpou
Aunty	Ming
Big Aunty/Uncle	OM
Grandmother	Yayeigh
Grandfather	Dtaahh
Hello (formal)	Jom-reap-sour
Hello (informal)	Sour-sdey
Bye Bye (formal)	Jom-reap-Lear
Bye Bye (informal)	Lear-Howie
Sorry/Excuse me	Som-dtos
Thank you	Orkun
Nice to see you	Rik-reay del ban skol nek
Nice to meet you	Rik-reay del ban joub nek
Good luck	sam nang la'or
Good	la-or
delicious	chng-ang
very/so	nah
Name	chhmoh
what	eh?
How about you?	jo nec/bong?
Which country are you from?	mok pee protes na?
Which province are you from?	mok pee khette na?
I come from America	Khymom mok pee protes Americ
How old are you?	ayu pun-man?
I'm 46 years old	Khynom mean/ayu (sae sap bram moi) chnam
Really?	men te?
No	dte
It's okay/your welcome	Min ey dte - Ort ey dte - Dowie khdey rik reay
See you tomorrow	Joup khear thngai sa-ek
Where are you going	dtaw na?
I go to	knyom dtaw
I buy	knyom dtinh
How much?	thlai pun man
It is expensive	v-yeah thlai
Have you eaten yet?	nham bai nov?
I ate already	knyom nham howie
not yet	nov dte
Stop	Chhob
here	nov dtee-ni
there	nov dtee-nus
bot	turn
sdam	right
chweng	left
go	dtaw
straight	trong
step back	toy krowie
bicycle	kgong
book	seeyou-poe
bread	nom-bpaing
car	lan
clothes (pants + shirt)	cow-awoo
company	krom-hun
friend	mut peck
hotel	son-tha-gear
house	petay
motor	moto
pants	cow
pen	bic
phone	dtoo-ra-saab
school	sa-la rean
shirt	awoo
t-shirt	awoo-yoot
and	nung
at/in	nov
cook food	tver-ma-hop
do/make	tver
eat/drink	nham
have/has/there are/there is	me-in
like	jol-jet
live	rou(s)nov
need	trov-gar
sell	louk
stay (stay outside 1 night +)	snak-nov
to transport (take/ride)	ji
with	jear-moi
work	tver-gar
animal	sat
bank	toe-near-gear
bookstore	bon-na-gear
but	pun-dtae
drive car	bauk-lan
father	pa
hospital	mon-dti-bpet
husband	phdey
market	phsar
meat	sach
milk	dteuk-dos-go
mother	mak
office	gar-riya-lai
parents	pa-mak
place	gon-leng
shop	hang
wife	pro-pun
work place	tver-gar
play	leng
money	luy
chicken egg	bpong-moan
duck egg	bpong-dtea
stay at home	now-ptah
desert	bong-ime
sweet	pa-ime
fruit	plae-chu(r)
rice/cooked	bai
rice/uncooked	ang-kor
swim	hai-dteuk
speak	niyay
restaurant	po-ji-ni-than
swimming pool	ang-hel-dteuk
shoes	sbaek-jerng
language	peersar
can	aach
